"X","id_tanggal_transaksi_awal","tanggal_transaksi_awal","tipe_kartu","id_merchant","nama_merchant","tipe_mesin","tipe_transaksi","nama_transaksi","nilai_transaksi","id_negara","nama_negara","nama_kota","lokasi_mesin","pemilik_mesin","waktu_transaksi","kuartal_transaksi","kepemilikan_kartu","nama_channel","id_channel","flag_transaksi_finansial","status_transaksi","bank_pemilik_kartu","rata_rata_nilai_transaksi","maksimum_nilai_transaksi","minimum_nilai_transaksi","rata_rata_jumlah_transaksi","flag_transaksi_fraud"
4758,2457659,2457677,93,-2,1798,1318348,385,11,500000,96,5,128,769,613,94557,2,2,1,9,FALSE,3,999,1401938.337,23650000,26500,5.32,0
7191,2457585,2457661,104,-2,1798,1359,159,19,500000,96,5,128,1694,613,115054,2,2,1,9,FALSE,3,999,835123.6111,18000000,100000,1.54,0
7249,2457425,2457495,111,-2,1798,140272,26,10,500000,96,5,265,3452,613,152604,3,2,1,9,FALSE,3,999,780711.3043,3970000,1,2.54,0
5508,2457555,2457614,104,-2,1798,2141266,238,9,500000,96,5,128,5546,613,91130,2,2,1,9,FALSE,3,999,197729.0217,800000,30000,2.21,1
9188,2457445,2457539,111,-2,1798,1531787,385,11,300000,96,5,265,1665,613,115159,2,2,1,9,FALSE,3,999,603631.4563,3500000,20900,2.15,1
8743,2457369,2457452,93,-2,1798,230730,159,19,13410000,96,5,128,4469,613,145936,3,2,1,9,FALSE,3,999,7789719.012,75000000,100000,2.33,0
14217,2457567,2457576,93,509283,1819,2879096,58,6,144950,96,5,265,4464,2649,164200,3,2,2,4,FALSE,3,999,984791.2186,46500000,50000,5.42,0
12467,2457410,2457460,93,-2,1798,-3,156,12,200000,96,5,37,167,19,102415,2,1,5,8,FALSE,3,999,497527.6471,2000000,100000,1.42,0
13264,2457503,2457561,93,9834,634,2290809,58,6,400000,96,5,128,6373,1055,163551,3,2,2,4,FALSE,3,999,286962.656,2262700,33500,1.19,0
7863,2457580,2457626,93,-2,1798,2562089,26,10,200000,96,5,70,4064,613,62534,2,2,1,9,FALSE,3,999,354296.0526,2000000,10000,1.6,0
5863,2457439,2457452,0,-2,1798,333153,301,16,850000,96,5,167,5243,613,133845,3,2,1,9,FALSE,3,999,3159907.076,27500000,75000,2.62,0
13596,2457362,2457447,111,-2,1798,1605032,159,19,2000000,96,5,128,1872,613,112402,2,2,1,9,FALSE,3,999,500000,3461000,10000,1.64,0
14209,2457512,2457515,104,-2,1798,3117590,148,5,26500,96,5,128,6001,613,180623,4,2,1,9,FALSE,3,999,519506.9444,2000000,25000,1.91,0
8410,2457515,2457562,111,-2,1798,1500557,26,10,1000000,96,5,128,1608,613,190117,4,2,1,9,FALSE,3,999,1256328.59,12025000,50000,6,0
14184,2457522,2457596,104,-2,1798,1192143,26,10,450000,96,5,128,474,613,121945,3,2,1,9,FALSE,3,999,343714.0972,1000000,50000,1.1,0
12092,2457524,2457569,111,-2,1798,2031753,148,5,50000,96,5,128,2820,613,115932,2,2,1,9,FALSE,3,999,1731269.419,10000000,100000,1.94,0
13637,2457445,2457531,111,-2,1798,101403,159,19,1000000,96,5,75,3830,613,140923,3,2,1,9,FALSE,3,999,1241861.123,10000000,795884,1.5,0
10210,2457593,2457667,93,-2,1798,2100727,385,11,2500000,96,5,128,3046,613,104529,2,2,1,9,FALSE,3,999,9293525.857,75000000,63000,1.61,0
14085,2457637,2457725,111,374848,596,2486400,58,6,40656,96,5,75,7039,1016,182256,4,2,2,4,FALSE,3,999,453054.9636,4250000,11500,5.49,0
8465,2457586,2457632,0,-2,1798,2367,385,11,500000,96,5,128,317,613,163453,3,2,1,9,FALSE,3,999,1464807.23,2500000,100000,2.44,0
2132,2457385,2457444,0,-2,1798,1166213,26,10,200000,96,5,70,526,613,122535,3,2,1,9,FALSE,3,999,347822.9394,2000000,41800,1.64,0
9468,2457402,2457418,2,-2,1798,2208459,385,11,2000000,96,5,265,7893,613,63739,2,2,1,9,FALSE,3,999,1243739.824,50000000,25000,5.63,0
4411,2457512,2457604,104,-2,1798,2373805,238,9,50000,96,5,128,5608,613,151727,3,2,1,9,FALSE,3,999,116480.5321,2200000,15000,6.34,0
12515,2457428,2457446,0,-2,1798,3031387,301,16,500000,96,5,101,8023,613,172706,3,2,1,9,FALSE,3,999,769760.9934,7500000,21300,2.8,0
12419,2457593,2457610,111,-2,1798,2948039,301,16,1000000,96,5,70,4489,613,85044,2,2,1,9,FALSE,3,999,1033574.468,9726005,25000,2,0
12794,2457526,2457613,103,-2,1798,2593941,159,19,8486300,96,5,128,4143,613,143213,3,2,1,9,FALSE,3,999,1871282.254,10000000,50000,1.65,0
1832,2457482,2457560,111,-2,1798,2154622,148,5,25000,96,5,128,3218,613,122239,3,2,1,9,FALSE,3,999,444940.3913,10000000,25000,2.28,0
2474,2457528,2457570,0,-2,1798,-3,156,12,300000,96,5,273,104,161,211239,4,1,5,8,FALSE,3,999,252575,1000000,97000,1.52,0
11599,2457540,2457561,111,-2,1798,2044388,26,10,300000,96,5,128,2816,613,141055,3,2,1,9,FALSE,3,999,1031508.142,6839000,7097,1.68,0
4420,2457528,2457549,111,483161,447,2352557,58,6,180000,96,5,203,6289,842,172939,3,2,2,4,FALSE,3,999,376829.0877,1850000,31500,2.56,0
8396,2457511,2457574,93,-2,1798,1298875,301,16,10000000,96,5,57,5114,613,203328,4,2,1,9,FALSE,3,999,7235363.934,75000000,25000,7.08,0
3,2457572,2457642,104,-2,1798,280355,26,10,500000,96,5,70,4049,613,85534,2,2,1,9,FALSE,3,999,306673.5714,1400000,25500,1.67,0
5358,2457414,2457461,0,-2,1798,-3,156,12,100000,96,5,8,66,173,91108,2,1,5,8,FALSE,3,999,544984.2915,18139977,26500,3.23,1
177,2457482,2457519,111,-2,1798,2616981,385,11,100000,96,5,86,4195,613,225522,4,2,1,9,FALSE,3,999,345886.0465,4500000,5900,1.56,0
13992,2457409,2457463,4,-2,1798,2365,161,17,300000,96,5,128,317,613,171105,3,2,1,9,FALSE,3,999,656741.4262,5000000,50000,2.07,0
4280,2457449,2457448,103,-2,1798,2097181,26,10,50000,96,5,70,2995,613,123559,3,2,1,9,FALSE,3,999,509022.2222,2700000,25000,1.8,0
6120,2457529,2457606,103,-2,1798,2018536,301,16,10000000,96,5,256,2795,613,143153,3,2,1,9,FALSE,3,999,539643.1471,1700000,48900,1.45,1
7050,2457371,2457413,111,-2,1798,2135508,26,10,500000,96,5,128,3024,613,70043,2,2,1,9,FALSE,3,999,922472.8354,6068232,50000,2.05,0
61,2457536,2457630,111,-2,1798,258875,385,11,2500000,96,5,128,4703,613,132519,3,2,1,9,FALSE,3,999,880585.0548,2500000,25000,2.35,0
4704,2457593,2457646,104,-2,1798,3145745,238,9,200000,96,5,265,8436,613,231809,4,2,1,9,FALSE,3,999,398717.9487,4900000,47300,2.29,0
5042,2457607,2457689,111,282467,589,2484154,58,6,7000,96,5,241,6939,1006,132841,3,2,2,4,FALSE,3,999,3966297.721,15000000,50000,8.73,0
6270,2457374,2457408,104,-2,1798,1197503,26,10,200000,96,5,75,574,613,182402,4,2,1,9,FALSE,3,999,1063109.758,2500000,100000,1.32,0
12266,2457405,2457464,111,250601,1512,2400310,58,6,275000,96,5,128,7532,2232,204601,4,2,2,4,FALSE,3,999,380133.8198,2250000,26000,1.42,0
344,2457658,2457684,111,-2,1798,2100304,161,17,1586000,96,5,60,2896,613,205016,4,2,1,9,FALSE,3,999,876174.0532,7309308,50000,2.16,0
9534,2457632,2457721,5,-2,1798,-3,156,12,500000,96,5,75,678,536,150352,3,1,5,8,FALSE,3,999,697818.6538,12500000,28500,1.6,1
10862,2457334,2457369,103,-2,1798,1453956,385,11,1000000,96,5,128,1306,613,74117,2,2,1,9,FALSE,3,999,451851.8519,3691500,37800,1.33,0
14865,2457359,2457451,0,458906,1356,2101823,58,6,69600,96,5,265,6967,2009,91656,2,2,2,4,FALSE,3,999,438428.6585,2700000,25000,1.53,0
4477,2457612,2457694,103,100211,1086,3290418,58,6,95105,96,5,259,6233,1689,175213,3,2,2,4,FALSE,3,999,361751.3947,2500000,33000,2.1,0
7211,2457359,2457406,111,-2,1798,2305366,301,16,49863,96,5,114,3434,613,62931,2,2,1,9,FALSE,3,999,793966.4571,5000000,11000,1.5,1
3429,2457355,2457391,0,-2,1798,1137553,148,5,50000,96,5,128,428,613,124409,3,2,1,9,FALSE,3,999,1000408.533,5000000,50000,1.64,0
1583,2457604,2457608,111,-2,1798,2081519,26,10,2100000,96,5,102,2935,613,121957,3,2,1,9,FALSE,3,999,1505702.752,7845000,40000,3.15,0
12889,2457562,2457575,0,324661,1349,2031901,58,6,165000,96,5,71,5931,1994,181918,4,2,2,4,FALSE,3,999,438606.25,3691500,26000,3.69,0
12463,2457361,2457377,111,-2,1798,1475488,26,10,1000000,96,5,114,1498,613,110820,2,2,1,9,FALSE,3,999,2257807.692,10000000,84584,1.58,0
9931,2457313,2457314,103,-2,1798,90649,385,11,2500000,96,5,128,3369,613,113056,2,2,1,9,FALSE,3,999,1345000,6666184,30000,5.97,0
1734,2457547,2457623,103,-2,1798,1595854,301,16,1481000,96,5,70,1837,613,132017,3,2,1,9,FALSE,3,999,225404.9881,1000000,26500,1.32,1
9858,2457591,2457609,111,36481,920,3024833,237,4,1000000,96,5,75,6395,1425,193226,4,2,2,4,FALSE,3,999,779843.0741,5100000,62900,1.64,0
3281,2457390,2457479,104,-2,1798,238597,26,10,100000,96,5,70,4567,613,125412,3,2,1,9,FALSE,3,999,1063109.758,10000000,25000,2.08,0
5217,2457576,2457658,93,-2,1798,1905590,385,11,1000000,96,5,102,2516,613,161411,3,2,1,9,FALSE,3,999,1790615.226,15000000,100000,2.29,0
6900,2457376,2457403,111,-2,1798,1891369,161,17,16995000,96,5,70,2501,613,164020,3,2,1,9,FALSE,3,999,17185428.57,25000000,50000,1.17,0
12308,2457572,2457632,103,-2,1798,-3,440,15,103000,96,5,128,1178,1547,140605,3,1,5,8,FALSE,3,999,135478.4217,1000000,10000,1.8,0
454,2457538,2457623,0,280271,1587,2969917,58,6,200000,96,5,128,6660,2338,93918,2,2,2,4,FALSE,3,999,1080452,2500000,20500,2.17,0
11735,2457346,2457420,111,149007,590,2200012,58,6,450000,96,5,208,6985,1020,184116,4,2,2,4,FALSE,3,999,1641211.811,5899300,27775,2.65,0
734,2457404,2457440,93,447200,178,2336683,58,6,393773,96,5,265,7271,461,171920,3,2,2,4,FALSE,3,999,2510056.563,18800000,3000,2.91,0
669,2457313,2457333,93,-2,1798,1223789,148,5,50000,96,5,70,379,613,220536,4,2,1,9,FALSE,3,999,851076.7296,38500000,25000,2.47,0
7982,2457448,2457526,0,-2,1798,1506963,26,10,2500000,96,5,60,1662,613,172722,3,2,1,9,FALSE,3,999,1174924.242,5000000,100000,2.18,0
9037,2457578,2457616,111,-2,1798,2632327,26,10,1250000,96,5,128,4214,613,174616,3,2,1,9,FALSE,3,999,1016160.374,8000000,26500,2.58,0
12715,2457629,2457694,93,-2,1798,2537685,26,10,1000000,96,5,128,8362,613,83529,2,2,1,9,FALSE,3,999,1084713.503,6575000,100000,3.22,0
12594,2457628,2457694,111,-2,1798,1456467,385,11,2500000,96,5,69,1342,613,131719,3,2,1,9,FALSE,3,999,2530285.326,20000000,49000,5.61,0
7847,2457600,2457665,111,-2,1798,3423608,385,11,1000000,96,5,128,4657,613,104135,2,2,1,9,FALSE,3,999,1135419.988,3000000,200000,1.81,0
9265,2457370,2457449,0,-2,1798,14,26,10,500000,96,5,293,5667,613,60921,2,2,1,9,FALSE,3,999,167544.6667,1000000,30000,1.33,0
3140,2457613,2457628,104,-2,1798,1457808,385,11,100000,96,5,58,1430,613,184858,4,2,1,9,FALSE,3,999,135049.5868,4800000,30000,8.07,0
12229,2457510,2457572,104,-2,1798,2121819,385,11,500000,96,5,128,3065,613,111938,2,2,1,9,FALSE,3,999,322650,1500000,50000,1.22,0
9472,2457521,2457550,93,-2,1798,1596956,26,10,1250000,96,5,75,1817,613,123559,3,2,1,9,FALSE,3,999,2831245.541,14000000,265000,3.2,0
3189,2457457,2457500,104,-2,1798,2337113,385,11,500000,96,5,185,3526,613,124533,3,2,1,9,FALSE,3,999,551989.7131,4885000,30000,1.24,0
13839,2457362,2457409,93,-2,1798,2539579,26,10,1000000,96,5,75,8402,613,74254,2,2,1,9,FALSE,3,999,2483053.596,49238000,28500,3.76,0
7419,2457304,2457374,111,-2,1798,1426506,385,11,1000000,96,5,265,1192,613,185112,4,2,1,9,FALSE,3,999,1985373.228,2500000,1000000,3.63,0
6352,2457563,2457638,93,-2,1798,1942711,385,11,500000,96,5,128,2639,613,54231,1,2,1,9,FALSE,3,999,2357568.312,30000000,133200,2.48,0
4450,2457522,2457581,111,-2,1798,2293969,385,11,150000,96,5,75,3457,613,71125,2,2,1,9,FALSE,3,999,2379787.081,40000000,63800,1.8,0
8239,2457590,2457611,138,61023,1697,2095732,58,6,121000,96,5,128,7631,2483,140924,3,2,2,4,FALSE,3,999,320238.0952,1000000,26600,1.58,0
7621,2457551,2457638,111,-2,1798,1478524,385,11,500000,96,5,223,1519,613,122900,3,2,1,9,FALSE,3,999,672286.9752,2500000,122820,1.38,0
9,2457408,2457465,103,-2,1798,-3,440,15,1000000,96,5,261,5645,610,104151,2,1,5,8,FALSE,3,999,1038333.333,2500000,50000,1.95,0
891,2457544,2457601,93,-2,1798,2601602,159,19,17850000,96,5,70,4104,613,191238,4,2,1,9,FALSE,3,999,1946677.632,30000000,100000,3.05,0
12866,2457661,2457720,93,-2,1798,1149,26,10,250000,96,5,244,1998,613,144218,3,2,1,9,FALSE,3,999,3675077.842,69900000,25000,3.6,0
10412,2457482,2457495,111,195135,394,2177347,58,6,72000,96,5,128,7000,776,123728,3,2,2,4,FALSE,3,999,580885.5516,20000000,20000,1.57,0
13135,2457437,2457453,93,575210,1653,1951626,58,6,3328000,96,5,128,5809,2446,142101,3,2,2,4,FALSE,3,999,1667486.667,20000000,51000,4.15,0
14884,2457563,2457565,1,509283,1793,2829120,58,6,200000,96,5,128,7219,2601,201413,4,2,2,4,FALSE,3,999,756832.0373,10000000,50000,1.58,0
2568,2457433,2457483,103,-2,1798,1199147,26,10,50000,96,5,128,569,613,73423,2,2,1,9,FALSE,3,999,239968.4615,1000000,50000,1.43,0
1451,2457378,2457387,0,-2,1798,2073979,385,11,200000,96,5,239,2885,613,64316,2,2,1,9,FALSE,3,999,254279.0789,1050000,39922,1.76,0
200,2457396,2457470,4,-2,1798,249944,385,11,500000,96,5,128,4619,613,104133,2,2,1,9,FALSE,3,999,1773340.105,25000000,50000,3.16,0
13237,2457517,2457611,93,-2,1798,-3,156,12,2500000,96,5,214,870,2408,3920,1,1,5,8,FALSE,3,999,5532031.381,40000000,62769,3,1
10016,2457624,2457701,132,-2,1798,2742346,26,10,1250000,96,5,265,8575,613,1922,1,2,1,9,FALSE,3,999,2073749.426,7040000,106300,3.62,0
2560,2457590,2457656,111,-2,1798,1384522,385,11,100000,96,5,60,1114,613,124225,3,2,1,9,FALSE,3,999,165771.9138,1250000,10000,2.27,0
1968,2457466,2457541,111,-2,1798,3063465,26,10,1000000,96,5,70,8049,613,121456,3,2,1,9,FALSE,3,999,1573372.642,10000000,100000,1.87,0
2071,2457388,2457402,0,-2,1798,1551349,147,3,93085,96,5,128,1585,613,74021,2,2,1,9,FALSE,3,999,439841.6232,3691500,25822,2.16,0
308,2457474,2457491,111,-2,1798,146746,385,11,800000,96,5,70,3755,613,111300,2,2,1,9,FALSE,3,999,475334.7417,6606615,22000,3.29,0
9341,2457359,2457444,104,142327,1814,2098216,58,6,58500,96,5,259,7221,2644,145736,3,2,2,4,FALSE,3,999,505462.987,5000000,20000,2.98,0
12672,2457509,2457559,111,-2,1798,308294,153,2,336900,96,5,128,4752,613,221108,4,2,1,9,FALSE,3,999,1178479.543,2000000,100000,1.6,0
4863,2457355,2457396,104,475111,1535,2529803,58,6,900000,96,5,128,7530,2265,174542,3,2,2,4,FALSE,3,999,835530.303,12300000,100000,3.23,0
10360,2457622,2457709,111,-2,1798,1898620,26,10,650000,96,5,91,2522,613,144712,3,2,1,9,FALSE,3,999,1777594.504,25000000,25000,1.98,0
11468,2457321,2457373,93,-2,1798,1223789,26,10,2500000,96,5,70,646,613,123916,3,2,1,9,FALSE,3,999,6082216.741,100000000,65860,9.09,0
1177,2457440,2457496,5,-2,1798,81969,26,10,700000,96,5,128,3717,613,195339,4,2,1,9,FALSE,3,999,241030,500000,50000,1.31,1
14872,2457387,2457418,0,-2,1798,321178,238,9,3900000,96,5,102,5444,613,135508,3,2,1,9,FALSE,3,999,3061870.504,15000000,50000,2.99,0
7432,2457597,2457692,2,509389,845,2932437,58,6,707700,96,5,259,6854,1294,92722,2,2,2,4,FALSE,3,999,2178594.915,25000000,100000,3.12,0
12980,2457409,2457482,111,-2,1798,1940536,26,10,100000,96,5,128,2574,613,145116,3,2,1,9,FALSE,3,999,409460,2500000,26500,1.42,0
6821,2457333,2457380,111,90293,1683,1631565,58,6,85640,96,5,96,5945,2475,213023,4,2,2,4,FALSE,3,999,331531.1154,3710000,22000,1.72,0
2934,2457604,2457628,111,-2,1798,1457808,385,11,1250000,96,5,265,1444,613,165212,3,2,1,9,FALSE,3,999,1286198.547,10580000,37700,1.74,0
1919,2457314,2457340,111,568254,354,1744684,58,6,160000,96,5,265,7249,724,91512,2,2,2,4,FALSE,3,999,2219613.445,4000000,1000000,2.9,1
11783,2457589,2457675,93,-2,1798,1328282,385,11,100000,96,5,265,788,613,222239,4,2,1,9,FALSE,3,999,1923545.376,11500000,200000,2.69,0
5744,2457585,2457613,103,-2,1798,1486869,385,11,200000,96,5,256,1573,613,84554,2,2,1,9,FALSE,3,999,827638.8889,20000000,29000,4.26,0
8996,2457585,2457666,111,-2,1798,1602650,159,19,10000000,96,5,102,1949,613,35436,1,2,1,9,FALSE,3,999,3224347.741,17000000,69500,3.05,0
11329,2457660,2457680,0,-2,1798,2318879,153,2,592500,96,5,70,3435,613,185147,4,2,1,9,FALSE,3,999,345815.875,1700000,50600,1.27,0
11466,2457538,2457625,5,-2,1798,3038351,385,11,1500000,96,5,128,8182,613,121027,3,2,1,9,FALSE,3,999,1168856.427,2300000,500000,1.17,0
1838,2457556,2457635,93,422231,244,1861898,58,6,110300,96,5,128,5747,589,94147,2,2,2,4,FALSE,3,999,672918.2016,5000000,24212,2.25,0
12702,2457365,2457387,0,-2,1798,691114,26,10,100000,96,5,293,5052,613,111600,2,2,1,9,FALSE,3,999,215351.0964,1200000,39922,1.93,0
6596,2457570,2457633,103,-2,1798,-3,156,12,500000,96,5,101,7736,508,84052,2,1,5,8,FALSE,3,999,306673.5714,1000000,50000,2.33,0
13683,2457431,2457510,0,-2,1798,2791001,301,16,642595,96,5,128,4329,613,182049,4,2,1,9,FALSE,3,999,769760.9934,5800000,20500,6.28,0
5220,2457401,2457463,111,-2,1798,1474226,385,11,100000,96,5,186,1520,613,180739,4,2,1,9,FALSE,3,999,986271.8406,3500000,100000,1.98,0
5351,2457359,2457413,103,-2,1798,1415734,385,11,500000,96,5,265,984,613,102542,2,2,1,9,FALSE,3,999,516115.2174,500000,500000,1,0
4177,2457633,2457674,103,-2,1798,222349,26,10,150000,96,5,251,4565,613,153820,3,2,1,9,FALSE,3,999,273023.8095,1300000,25000,1.78,0
4755,2457536,2457588,5,-2,1798,258875,385,11,1250000,96,5,60,4715,613,90527,2,2,1,9,FALSE,3,999,960370.4091,5000000,50000,1.62,0
577,2457567,2457612,111,-2,1798,2503837,385,11,500000,96,5,265,8155,613,142639,3,2,1,9,FALSE,3,999,876174.0532,5000000,200000,1.64,0
3405,2457423,2457449,111,-2,1798,1892510,385,11,1000000,96,5,70,2470,613,232539,4,2,1,9,FALSE,3,999,1367065.934,6396000,50000,1.78,1
10497,2457395,2457451,104,-2,1798,2632327,385,11,1250000,96,5,128,4226,613,92251,2,2,1,9,FALSE,3,999,1428125.869,7710000,30000,3.42,1
9961,2457460,2457557,5,-2,1798,-3,156,12,2000000,96,5,153,68,224,213934,4,1,5,8,FALSE,3,999,1560357.143,10000000,26500,1.69,1
5038,2457425,2457435,111,-2,1798,2111046,26,10,300000,96,5,128,3201,613,160705,3,2,1,9,FALSE,3,999,862448.8085,6500000,10000,3.16,0
9684,2457447,2457465,93,-2,1798,1466627,148,5,25000,96,5,265,1367,613,174730,3,2,1,9,FALSE,3,999,588661.7634,9700000,25000,3.1,0
13785,2457623,2457655,0,-2,1798,2154627,26,10,300000,96,5,128,3278,613,182559,4,2,1,9,FALSE,3,999,289688.5336,2000000,25000,1.89,0
403,2457431,2457519,104,641357,1485,3096337,58,6,403095,96,5,136,7499,2205,213408,4,2,2,4,FALSE,3,999,390052.6471,3000000,12000,3.64,1
7474,2457609,2457662,103,-2,1798,2197624,159,19,150000,96,5,167,3197,613,162610,3,2,1,9,FALSE,3,999,479025.2807,4000000,13145,2.08,0
5974,2457322,2457407,111,-2,1798,2496868,385,11,1250000,96,5,128,8252,613,91935,2,2,1,9,FALSE,3,999,986478.4082,2399000,25000,1.84,0
4703,2457471,2457523,0,-2,1798,3175018,26,10,200000,96,5,128,8429,613,5642,1,2,1,9,FALSE,3,999,796108.9744,2800000,26500,1.83,0
8285,2457360,2457396,111,239953,1153,2298471,58,6,145000,96,5,128,6160,1765,153952,3,2,2,4,FALSE,3,999,475334.7417,3000000,25300,1.79,0
3270,2457509,2457599,111,-2,1798,1174157,26,10,2500000,96,5,128,463,613,92130,2,2,1,9,FALSE,3,999,970216.1282,13400000,25000,4.29,0
6565,2457431,2457501,93,477699,208,1740609,58,6,1788500,96,5,128,7251,520,70036,2,2,2,4,FALSE,3,999,1765622.473,25000000,41000,3.16,0
13852,2457332,2457342,103,522536,310,2987449,58,6,150000,96,5,70,7488,660,180947,4,2,2,4,FALSE,3,999,1038057.653,14840000,50000,1.84,0
8791,2457433,2457466,0,-2,1798,1919586,26,10,1000000,96,5,128,2551,613,194206,4,2,1,9,FALSE,3,999,1000408.533,2500000,200000,1.67,0
6056,2457661,2457715,2,-2,1798,2139703,147,3,1500000,96,5,128,3047,613,193659,4,2,1,9,FALSE,3,999,3529663.661,50000000,100000,3.07,0
2868,2457386,2457471,93,-2,1798,1350,385,11,2500000,96,5,101,1731,613,195556,4,2,1,9,FALSE,3,999,3966382.512,54659000,34000,6.3,0
9487,2457408,2457413,104,-2,1798,857,159,19,100000,96,5,128,2243,613,130129,3,2,1,9,FALSE,3,999,135278.3784,811000,22500,3.52,0
11241,2457375,2457460,93,-2,1798,2422974,26,10,1250000,96,5,191,3751,613,152149,3,2,1,9,FALSE,3,999,4372308.101,50335599,50000,2.88,0
4769,2457507,2457558,111,170120,1413,1612373,58,6,250000,96,5,241,7596,2084,103604,2,2,2,4,FALSE,3,999,1024239.017,10000000,25000,1.84,0
9559,2457632,2457698,104,-2,1798,1948846,159,19,10000,96,5,128,2545,613,183650,4,2,1,9,FALSE,3,999,290056.1224,2100000,9500,1.74,0
2774,2457526,2457568,104,-2,1798,2129395,26,10,200000,96,5,60,2971,613,153045,3,2,1,9,FALSE,3,999,135049.5868,700000,15000,1.55,0
6163,2457336,2457412,111,-2,1798,1248059,26,10,2500000,96,5,189,737,613,131601,3,2,1,9,FALSE,3,999,2435763.889,10000000,100000,3.57,0
11286,2457463,2457487,103,-2,1798,-3,156,12,1500000,96,5,265,280,563,74016,2,1,5,8,FALSE,3,999,1267005.773,12025000,50000,2.82,1
7688,2457563,2457610,111,-2,1798,2148930,238,9,1700000,96,5,258,5588,613,4112,1,2,1,9,FALSE,3,999,1252365.909,3000000,166000,2.07,0
12412,2457358,2457409,0,-2,1798,1946042,238,9,950000,96,5,265,5518,613,162338,3,2,1,9,FALSE,3,999,1150246.974,7853540,15000,3.04,0
14326,2457443,2457533,111,-2,1798,101403,385,11,1000000,96,5,75,3361,613,201502,4,2,1,9,FALSE,3,999,1777546.552,30000000,41000,2.88,0
14557,2457401,2457429,103,-2,1798,1869635,238,9,1300000,96,5,265,5502,613,193405,4,2,1,9,FALSE,3,999,1508926.622,5899300,39200,1.78,0
14745,2457447,2457532,104,-2,1798,-3,156,12,500000,96,5,128,1353,840,132512,3,1,5,8,FALSE,3,999,472182.6087,1550000,20000,2.89,0
